
Тест: Уровень 1
Нажатие 6: 0.581 сек
Нажатие 7: 1.000 сек
Нажатие 8: 0.833 сек
Нажатие 9: 0.566 сек
Нажатие 10: 1.134 сек

Тест: Уровень 1
Нажатие 1: 0.930 сек
Нажатие 2: 0.429 сек
Нажатие 3: 0.689 сек
Нажатие 4: 0.968 сек
Нажатие 5: 1.265 сек
Нажатие 6: 0.532 сек
Нажатие 7: 0.532 сек
Нажатие 8: 0.584 сек
Нажатие 9: 0.782 сек
Нажатие 10: 0.914 сек

Тест: Уровень 1
Нажатие 1: 1.157 сек
Нажатие 2: 1.308 сек
Нажатие 3: 0.982 сек
Нажатие 4: 1.033 сек
Нажатие 5: 0.765 сек
Нажатие 6: 0.850 сек
Нажатие 7: 0.884 сек
Нажатие 8: 0.766 сек
Нажатие 9: 0.816 сек
Нажатие 10: 1.202 сек

Тест: Уровень 2
Нажатие 1: 1.115 сек
Нажатие 2: 1.083 сек
Нажатие 3: 1.189 сек
Нажатие 4: 0.798 сек
Нажатие 5: 0.814 сек
Нажатие 6: 0.544 сек
Нажатие 7: 0.882 сек
Нажатие 8: 0.734 сек
Нажатие 9: 0.982 сек
Нажатие 10: 0.868 сек

Тест: Уровень 4
Нажатие 1: 4.381 сек
Нажатие 2: 1.083 сек
Нажатие 3: 0.966 сек
Нажатие 4: 0.899 сек
Нажатие 5: 1.317 сек
Нажатие 6: 1.867 сек
Нажатие 7: 0.866 сек
Нажатие 8: 2.467 сек
Нажатие 9: 0.783 сек
Нажатие 10: 2.450 сек

Тест: Уровень 3
Нажатие 1: 0.870 сек
Нажатие 2: 1.428 сек
Нажатие 3: 1.033 сек
Нажатие 4: 0.916 сек
Нажатие 5: 0.767 сек
Нажатие 6: 0.633 сек
Нажатие 7: 0.832 сек
Нажатие 8: 1.032 сек
Нажатие 9: 0.600 сек
Нажатие 10: 0.799 сек

Тест: Уровень 1
Нажатие 1: 1.120 сек
Нажатие 2: 1.133 сек
Нажатие 3: 1.416 сек
Нажатие 4: 0.712 сек
Нажатие 5: 0.723 сек
Нажатие 6: 0.806 сек
Нажатие 7: 0.733 сек
Нажатие 8: 0.727 сек
Нажатие 9: 0.494 сек
Нажатие 10: 0.601 сек

Тест: Уровень 2
Нажатие 1: 1.004 сек
Нажатие 2: 1.092 сек
Нажатие 3: 0.722 сек
Нажатие 4: 0.881 сек
Нажатие 5: 0.991 сек
Нажатие 6: 0.982 сек
Нажатие 7: 1.382 сек
Нажатие 8: 0.864 сек
Нажатие 9: 0.785 сек
Нажатие 10: 1.194 сек

Тест: Уровень 2
Нажатие 1: 1.272 сек
Нажатие 2: 3.699 сек
Нажатие 3: 1.351 сек
Нажатие 4: 0.857 сек
Нажатие 5: 0.641 сек
Нажатие 6: 0.783 сек
Нажатие 7: 0.929 сек
Нажатие 8: 0.797 сек
Нажатие 9: 0.729 сек
Нажатие 10: 0.846 сек

Тест: Уровень 1
Нажатие 1: 1.126 сек
Нажатие 2: 1.189 сек
Нажатие 3: 0.929 сек
Нажатие 4: 0.791 сек
Нажатие 5: 1.011 сек
Нажатие 6: 0.798 сек
Нажатие 7: 0.530 сек
Нажатие 8: 0.586 сек
Нажатие 9: 0.563 сек
Нажатие 10: 0.963 сек

Тест: Уровень 1
Нажатие 1: 1.849 сек
Нажатие 2: 0.699 сек
Нажатие 3: 0.663 сек
Нажатие 4: 0.473 сек
Нажатие 5: 0.533 сек
Нажатие 6: 0.752 сек
Нажатие 7: 0.545 сек
Нажатие 8: 0.896 сек
Нажатие 9: 0.435 сек
Нажатие 10: 0.632 сек

Тест: Уровень 1
Нажатие 1: 0.633 сек
Нажатие 2: 0.136 сек
Нажатие 3: 0.633 сек
Нажатие 4: 0.564 сек
Нажатие 5: 1.132 сек
Нажатие 6: 0.596 сек
Нажатие 7: 0.546 сек
Нажатие 8: 0.530 сек
Нажатие 9: 0.563 сек
Нажатие 10: 0.683 сек

Тест: Уровень 1
Нажатие 1: 0.991 сек
Нажатие 2: 0.975 сек
Нажатие 3: 0.435 сек
Нажатие 4: 0.772 сек
Нажатие 5: 0.531 сек
Нажатие 6: 0.867 сек
Нажатие 7: 0.579 сек
Нажатие 8: 0.414 сек
Нажатие 9: 0.894 сек
Нажатие 10: 0.483 сек

Тест: Уровень 1
Нажатие 1: 0.870 сек
Нажатие 2: 0.605 сек
Нажатие 3: 0.478 сек
Нажатие 4: 0.846 сек
Нажатие 5: 0.846 сек
Нажатие 6: 1.036 сек
Нажатие 7: 1.009 сек
Нажатие 8: 0.823 сек
Нажатие 9: 1.112 сек
Нажатие 10: 0.780 сек

Тест: Уровень 1
Нажатие 1: 0.874 сек
Нажатие 2: 0.923 сек
Нажатие 3: 0.886 сек
Нажатие 4: 0.865 сек
Нажатие 5: 0.813 сек
Нажатие 6: 0.747 сек
Нажатие 7: 0.685 сек
Нажатие 8: 0.778 сек
Нажатие 9: 0.899 сек
Нажатие 10: 0.846 сек

Тест: Уровень 1
Нажатие 1: 0.738 сек
Нажатие 2: 0.936 сек
Нажатие 3: 0.356 сек
Нажатие 4: 0.429 сек
Нажатие 5: 0.630 сек
Нажатие 6: 0.549 сек
Нажатие 7: 1.314 сек
Нажатие 8: 0.530 сек
Нажатие 9: 0.697 сек
Нажатие 10: 0.644 сек

Тест: Уровень 1
Нажатие 1: 0.904 сек
Нажатие 2: 0.509 сек
Нажатие 3: 0.431 сек
Нажатие 4: 0.466 сек
Нажатие 5: 0.828 сек
Нажатие 6: 0.784 сек
Нажатие 7: 0.894 сек
Нажатие 8: 0.656 сек
Нажатие 9: 0.564 сек
Нажатие 10: 0.512 сек

Тест: Уровень 1
Нажатие 1: 0.461 сек
Нажатие 2: 0.592 сек
Нажатие 3: 0.887 сек
Нажатие 4: 1.244 сек
Нажатие 5: 0.832 сек
Нажатие 6: 0.742 сек
Нажатие 7: 0.463 сек
Нажатие 8: 0.522 сек
Нажатие 9: 0.807 сек
Нажатие 10: 0.518 сек

Тест: Уровень 1
Нажатие 1: 0.860 сек
Нажатие 2: 1.058 сек
Нажатие 3: 1.555 сек
Нажатие 4: 0.815 сек
Нажатие 5: 0.717 сек
Нажатие 6: 0.522 сек
Нажатие 7: 0.705 сек
Нажатие 8: 0.489 сек
Нажатие 9: 0.948 сек
Нажатие 10: 0.814 сек

Тест: Уровень 1
Нажатие 1: 0.891 сек
Нажатие 2: 0.959 сек
Нажатие 3: 0.480 сек
Нажатие 4: 0.596 сек
Нажатие 5: 0.771 сек
Нажатие 6: 0.987 сек
Нажатие 7: 0.519 сек
Нажатие 8: 0.537 сек
Нажатие 9: 0.398 сек
Нажатие 10: 0.679 сек

Тест: Уровень 2
Нажатие 1: 0.716 сек
Нажатие 2: 0.600 сек
Нажатие 3: 1.011 сек
Нажатие 4: 0.992 сек
Нажатие 5: 0.863 сек
Нажатие 6: 0.780 сек
Нажатие 7: 0.498 сек
Нажатие 8: 1.278 сек
Нажатие 9: 0.602 сек
Нажатие 10: 0.754 сек

Тест: Уровень 3
Нажатие 1: 0.872 сек
Нажатие 2: 0.574 сек
Нажатие 3: 0.498 сек
Нажатие 4: 0.761 сек
Нажатие 5: 0.964 сек
Нажатие 6: 0.546 сек
Нажатие 7: 1.002 сек
Нажатие 8: 0.746 сек
Нажатие 9: 0.461 сек
Нажатие 10: 0.394 сек

Тест: Уровень 1
Нажатие 1: 0.821 сек
Нажатие 2: 0.978 сек
Нажатие 3: 2.244 сек
Нажатие 4: 1.396 сек
Нажатие 5: 1.099 сек
Нажатие 6: 0.789 сек
Нажатие 7: 0.609 сек
Нажатие 8: 0.878 сек
Нажатие 9: 0.879 сек
Нажатие 10: 0.964 сек

Тест: Уровень 1
Нажатие 1: 0.908 сек
Нажатие 2: 0.943 сек
Нажатие 3: 2.694 сек
Нажатие 4: 1.947 сек
Нажатие 5: 0.961 сек
Нажатие 6: 0.594 сек
Нажатие 7: 0.849 сек
Нажатие 8: 0.720 сек
Нажатие 9: 0.677 сек
Нажатие 10: 1.646 сек

Тест: Уровень 1
Нажатие 1: 0.985 сек
Нажатие 2: 1.397 сек
Нажатие 3: 0.845 сек
Нажатие 4: 0.499 сек
Нажатие 5: 0.592 сек
Нажатие 6: 0.856 сек
Нажатие 7: 0.998 сек
Нажатие 8: 0.516 сек
Нажатие 9: 0.510 сек
Нажатие 10: 0.536 сек

Тест: Уровень 2
Нажатие 1: 0.740 сек
Нажатие 2: 0.811 сек
Нажатие 3: 0.560 сек
Нажатие 4: 0.519 сек
Нажатие 5: 0.794 сек
Нажатие 6: 0.832 сек
Нажатие 7: 0.747 сек
Нажатие 8: 0.663 сек
Нажатие 9: 0.795 сек
Нажатие 10: 0.562 сек

Тест: Уровень 2
Нажатие 1: 0.601 сек
Нажатие 2: 0.537 сек
Нажатие 3: 0.464 сек
Нажатие 4: 0.394 сек
Нажатие 5: 0.414 сек
Нажатие 6: 0.431 сек
Нажатие 7: 0.464 сек
Нажатие 8: 0.962 сек
Нажатие 9: 0.730 сек
Нажатие 10: 0.849 сек

Тест: Уровень 2
Нажатие 1: 0.417 сек
Нажатие 2: 0.879 сек
Нажатие 3: 1.087 сек
Нажатие 4: 0.821 сек
Нажатие 5: 0.550 сек
Нажатие 6: 0.512 сек
Нажатие 7: 0.616 сек
Нажатие 8: 0.574 сек
Нажатие 9: 0.572 сек
Нажатие 10: 0.638 сек

Тест: Уровень 4
Нажатие 1: 1.617 сек
Нажатие 2: 1.764 сек
Нажатие 3: 1.642 сек
Нажатие 4: 0.980 сек
Нажатие 5: 0.610 сек
Нажатие 6: 0.731 сек
Нажатие 7: 1.295 сек
Нажатие 8: 1.837 сек
Нажатие 9: 0.929 сек
Нажатие 10: 1.324 сек

Тест: Уровень 1
Нажатие 1: 0.799 сек
Нажатие 2: 1.007 сек
Нажатие 3: 0.460 сек
Нажатие 4: 0.712 сек
Нажатие 5: 0.461 сек
Нажатие 6: 0.603 сек
Нажатие 7: 0.647 сек
Нажатие 8: 0.796 сек
Нажатие 9: 0.844 сек
Нажатие 10: 1.002 сек

Тест: Уровень 1
Нажатие 1: 0.931 сек
Нажатие 2: 0.917 сек
Нажатие 3: 0.706 сек
Нажатие 4: 0.512 сек
Нажатие 5: 0.766 сек
Нажатие 6: 0.846 сек
Нажатие 7: 0.689 сек
Нажатие 8: 0.593 сек
Нажатие 9: 0.721 сек
Нажатие 10: 0.544 сек

Тест: Уровень 2
Нажатие 1: 0.708 сек
Нажатие 2: 0.707 сек
Нажатие 3: 0.681 сек
Нажатие 4: 0.649 сек
Нажатие 5: 0.560 сек
Нажатие 6: 0.772 сек
Нажатие 7: 0.450 сек
Нажатие 8: 0.484 сек
Нажатие 9: 0.566 сек
Нажатие 10: 0.767 сек

Тест: Уровень 2
Нажатие 1: 0.876 сек
Нажатие 2: 0.573 сек
Нажатие 3: 0.833 сек
Нажатие 4: 0.999 сек
Нажатие 5: 0.449 сек
Нажатие 6: 0.585 сек
Нажатие 7: 0.628 сек
Нажатие 8: 0.497 сек
Нажатие 9: 0.933 сек
Нажатие 10: 0.766 сек

Тест: Уровень 1
Нажатие 1: 7.365 сек
Нажатие 2: 0.817 сек
Нажатие 3: 0.814 сек
Нажатие 4: 0.617 сек
Нажатие 5: 0.784 сек
Нажатие 6: 0.691 сек
Нажатие 7: 0.723 сек
Нажатие 8: 0.866 сек
Нажатие 9: 0.532 сек
Нажатие 10: 0.951 сек
